sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High	D3_MOI2_High	D3_MOI2_Low_Mid	D3_MOI2_Low	D3_MOI2_Mid_High	D4_MOI2_High	D4_MOI2_Low_Mid	D4_MOI2_Low	D4_MOI2_Mid_High	D3_MOI5_High	D3_MOI5_Low_Mid	D3_MOI5_Low	D3_MOI5_Mid_High	D4_MOI5_High	D4_MOI5_Low_Mid	D4_MOI5_Low	D4_MOI5_Mid_High
s_979	IFNGR2	2380	6915	6017	1400	7237	13360	15155	10175	8248	13426	13940	8424	1149	2397	4265	2314	3489	7069	9438	4557	5740	10002	12560	9576	4247	9886	7094	2057	3968	7638	8849	6254
s_3929	E2F8	1678	6154	4273	1063	7188	12479	9399	6213	5390	14660	11139	6023	1128	2427	2701	2336	4044	8935	13859	4971	3654	13733	12172	6264	2673	9710	5198	1642	4831	6845	8743	5583
s_1234	MEOX2	909	2903	3662	631	5302	5855	6186	3055	4255	7263	16035	3490	979	1417	1155	1497	1889	2104	5003	884	3140	5766	7627	1896	1970	6283	6221	1116	3128	3702	5530	3388
s_4338	ZNF554	861	2516	3051	561	2460	2849	4279	2452	1711	5368	10944	2553	465	1112	943	780	1626	2578	1670	1307	2411	3976	2774	3080	1652	4541	3942	924	1362	1727	2522	1367
s_3409	KLF13	714	2831	2508	453	6314	2839	1930	2520	3229	3707	2586	1858	394	657	666	577	1874	2504	2715	1272	1690	3719	3210	2038	1130	2849	1437	928	2240	1644	2753	2007
s_478	ETV5	1459	4969	4551	837	4399	6441	7160	3406	3418	10259	11144	4227	1253	1945	2234	1690	3091	6002	7648	1879	2741	8044	7929	4781	3026	5828	6111	1275	3269	3992	5805	2699
s_5276	NKX2-4	1658	5635	4696	1002	4546	6918	6125	4857	3698	6559	9308	3503	972	1193	1823	2529	4358	8344	19370	3432	3432	5344	7020	3838	2129	11116	8770	1557	4456	5141	5904	4614
s_1164	LYL1	1429	3866	3736	829	7951	6743	6014	2587	6588	7700	6849	3072	964	1412	789	2525	3725	5217	9620	2213	4881	6723	9983	5407	3178	10164	6506	2236	3728	4138	4627	3937
s_1789	SIX1	1766	5738	4939	1010	5271	10745	7385	4096	7223	10417	18564	4465	768	1401	2313	1588	2796	5362	12378	2962	2329	5723	7632	7762	1812	6221	6999	1030	1851	3759	3551	2339
s_4663	ZNF519	1009	3349	3020	523	5880	7615	5526	4028	3837	8589	15002	4056	584	1549	1532	2020	2696	6209	12129	2800	6252	9748	8428	4500	1818	8924	7363	1307	3443	3618	3873	3463
s_3535	TRERF1	1990	5198	4627	1124	5990	11754	15796	6332	4417	11410	5558	6710	944	1220	1384	1396	3258	9951	11344	3632	3677	8232	7575	7223	2714	9059	9608	1609	4959	4628	5630	3280
s_4005	ZKSCAN3	2048	6789	5440	1415	7650	10763	11137	6477	6059	20601	20432	8168	1031	1703	3210	2129	5254	11204	14577	5406	5273	10718	11556	6477	5078	15988	10948	2530	6346	7198	8227	8210
s_536	FOXJ1	1368	4564	3285	955	4657	8962	8248	3790	6397	21658	12232	5196	1111	1761	2756	1886	1770	5584	6864	2723	3884	5331	8255	4004	2451	5342	3595	1308	4218	5744	3572	4214
s_2758	SETDB1	1117	4134	3196	639	3508	4696	2429	3054	3392	6032	10362	1829	511	1505	1650	1822	1471	5951	12210	2587	3424	3587	6013	5613	1823	6960	5285	980	3166	4956	4394	3836
s_2915	GMEB1	2737	7326	5198	1232	8396	10729	10517	5378	6553	9951	11683	7690	1180	4565	4049	2691	4386	7244	15575	3277	5908	8537	10803	6064	5001	13403	9042	2197	5103	5328	4804	5631
s_1457	OTX2	1589	3974	4646	937	6262	10724	9361	8554	7036	11381	8873	5032	1129	2349	1997	2440	2941	2758	11207	2281	3713	10149	10507	7303	1879	6411	6118	926	3398	4274	4684	3498
s_1436	NRF1	1921	3844	3175	1231	8551	9388	7595	5576	4269	6055	3829	3425	538	1207	651	1182	4311	5815	8969	4529	3352	6256	7330	4479	3775	10121	4575	1640	3434	5674	4846	3628
s_5773	Non-Targeting Control	1917	5175	5236	1077	4388	13734	11485	5541	4182	9921	18693	4181	660	3442	3939	1933	4039	6620	9807	4185	6835	8033	10099	9050	5061	12479	9632	2774	6036	8649	11236	6774
s_2025	MLX	941	2731	2648	508	2103	4569	4662	2259	1698	4004	6739	2401	586	883	1113	898	2408	4360	4918	3062	3601	5994	5135	4289	1788	4138	6263	1396	3016	2847	4859	3148
s_2410	ZNF157	2255	6049	5652	1197	5655	11266	12460	8636	7341	9110	7101	5359	1073	2308	2614	2168	2655	8160	14707	3820	4081	11201	14034	6798	5400	11603	10997	2469	4800	5331	8688	5130
s_2622	NR1I2	1259	3879	3439	706	5614	7608	9195	3978	2929	9698	4261	1902	473	1809	2311	1287	1993	5220	6999	2583	3064	6262	7905	4731	3689	7650	6482	1634	3041	4352	6214	4081
s_2853	BTN2A2	2545	5013	3940	1324	7214	10488	9981	6367	5727	10179	7808	3837	1530	2339	3530	2359	3349	7767	10853	3640	4512	6976	8366	3827	3226	11332	9237	2167	4849	3976	5159	5543
s_822	HOXA9	1339	2392	3334	696	6292	5774	5166	3576	2320	7818	16469	4985	586	1087	1013	1375	2924	4342	4397	1505	3138	5944	8108	4203	3823	8510	5680	1788	3455	3746	4208	3204
s_4702	ZNF114	1114	2528	2834	629	2510	8168	6349	3670	6641	8799	13462	5183	515	2318	2118	1458	1865	3877	7465	1725	2056	4712	5119	4050	1636	4685	4265	1042	1794	2564	2671	2377
s_262	CSF2	859	3078	1416	688	2391	5407	8437	2482	986	3034	4347	1558	407	1151	1608	835	1921	2891	7403	1837	2371	4039	4775	2797	2080	5375	3382	1367	1677	3136	4323	2142
s_1999	TCF7L2	2376	7524	6230	1382	7260	12705	17092	7986	6611	13308	22705	7527	1049	3267	3771	2676	4077	7764	16732	2558	4216	12507	17911	8138	4614	14460	9679	2569	4545	6754	5977	5034
